area_code,latitude,longitude
718,40.691608,-73.959668
719,38.64372,-104.7528333
720,39.77755625,-105.0026667
724,40.565275,-79.9919975
725,36.14052714,-115.1143643
727,28.006899,-82.736329
731,35.61452,-88.81395
732,40.42072143,-74.32367929
734,42.25120273,-83.41347636
737,30.359314,-97.772174
740,39.74919875,-82.66145
743,35.986358,-79.858592
747,34.186115,-118.4355433
754,26.14313842,-80.20192526
757,36.87017143,-76.31351429
760,33.6695681,-116.7581124
762,33.63948429,-83.94034
763,45.09851444,-93.35914889
765,40.28916857,-85.93796143
769,32.19705429,-89.96107286
770,33.8336605,-84.3569235
772,27.37194,-80.3461
773,41.88475,-88.20396
774,42.00699273,-71.22419455
775,38.6091575,-118.82945
779,42.05086917,-88.6227275
781,42.38921565,-71.10036565
785,38.984614,-96.88463
786,25.74041704,-80.35898037
801,40.65385643,-111.8801921
802,44.363525,-72.873175
803,34.08893,-81.057868
804,37.456984,-77.415816
805,34.60204125,-119.6962594
806,34.32821667,-101.79777
808,20.95603556,-157.2379267
810,42.99428667,-83.24290333
812,38.66688,-86.39125714
813,28.04743889,-82.42785889
814,40.9420075,-78.8154425
815,42.05086917,-88.6227275
816,39.104366,-94.500676
817,32.75957533,-97.22340333
818,34.186115,-118.4355433
828,35.66707,-81.94761
830,29.478228,-99.325156
831,36.75860714,-121.7704657
832,29.70917889,-95.30039889
843,33.0913225,-79.901955
845,41.47292,-74.06412333
847,42.14730875,-87.94760563
848,40.42072143,-74.32367929
850,30.41866889,-86.61346
856,39.73721857,-75.05378571
857,42.34858182,-71.10012727
858,32.96282,-117.03586
859,38.4547925,-84.4768825
860,41.67400917,-72.64104167
862,40.82511286,-74.21640333
863,28.030855,-81.84133
864,34.72085833,-82.29456333
865,35.9344575,-84.10762
870,34.65417167,-91.68221833
878,40.459707,-79.962276
901,35.120715,-89.849395
903,33.01201111,-95.52637667
904,30.25227667,-81.60564667
907,60.26835333,-141.136315
908,40.66289727,-74.28977364
909,34.074295,-117.5405572
910,34.757956,-78.453958
912,32.12640333,-81.49298333
913,39.0303175,-94.718015
914,41.026625,-73.8051675
915,31.70664,-106.39512
916,38.54004235,-121.3983159
917,40.695385,-73.967385
918,36.1754425,-95.783525
919,35.72614286,-78.77469
920,43.948076,-88.281434
925,37.89177667,-121.935052
928,34.3190475,-113.5519425
929,40.691608,-73.959668
930,38.66688,-86.39125714
931,36.10256,-86.63212333
936,30.99429,-95.097855
937,39.85426692,-84.11555769
940,33.39159333,-97.54021
941,27.20213333,-82.34435167
947,42.54372462,-83.26242846
949,33.57348615,-117.7337162
951,33.819667,-117.258786
952,44.838195,-93.4117575
954,26.14313842,-80.20192526
956,26.299599,-98.138061
959,41.67400917,-72.64104167
970,40.11755,-105.854795
971,45.34785933,-122.7965427
972,32.86905783,-96.82601565
973,40.83461737,-74.21941579
978,42.60368286,-71.22620857
979,30.11206667,-96.04625333
980,35.36768556,-80.74773778
984,35.72614286,-78.77469
985,29.97931333,-90.32739
989,43.52936,-84.16104
854,33.0913225,-79.901955
